filename,label
candidate_000006.npy,0
candidate_000102.npy,0
candidate_000111.npy,0
candidate_000123.npy,0
candidate_000151.npy,0
candidate_000213.npy,0
candidate_000285.npy,0
candidate_000313.npy,0
candidate_000325.npy,0
candidate_000327.npy,0
candidate_000380.npy,0
candidate_000396.npy,0
candidate_000403.npy,0
candidate_000413.npy,0
candidate_000414.npy,0
candidate_000436.npy,1
candidate_000452.npy,0
candidate_000556.npy,0
candidate_000579.npy,0
candidate_000653.npy,0
candidate_000736.npy,0
candidate_000751.npy,0
candidate_000781.npy,0
candidate_000855.npy,0
candidate_000892.npy,0
candidate_001009.npy,1
candidate_001054.npy,0
candidate_001115.npy,0
candidate_001212.npy,0
candidate_001214.npy,0
candidate_001228.npy,0
candidate_001311.npy,0
candidate_001360.npy,0
candidate_001463.npy,0
candidate_001474.npy,0
candidate_001509.npy,0
candidate_002709.npy,0
candidate_002753.npy,0
candidate_002788.npy,0
candidate_002790.npy,0
candidate_002957.npy,0
candidate_002995.npy,0
candidate_003028.npy,0
candidate_003073.npy,0
candidate_003373.npy,0
candidate_003424.npy,0
candidate_003439.npy,0
candidate_003441.npy,0
candidate_003447.npy,0
candidate_003462.npy,0
candidate_003531.npy,0
candidate_003622.npy,0
candidate_003633.npy,1
candidate_003665.npy,0
candidate_003707.npy,1
candidate_003748.npy,1
candidate_003776.npy,0
candidate_003842.npy,1
candidate_003866.npy,1
candidate_003870.npy,1
candidate_003894.npy,0
candidate_003896.npy,0
candidate_003901.npy,1
candidate_003987.npy,0
candidate_004001.npy,0
candidate_004034.npy,1
candidate_004036.npy,0
candidate_004048.npy,1
candidate_004049.npy,1
candidate_004056.npy,1
candidate_004086.npy,0
candidate_004094.npy,1
candidate_004119.npy,1
candidate_004247.npy,1
candidate_004251.npy,1
candidate_004273.npy,0
candidate_004309.npy,0
candidate_004311.npy,1
candidate_004338.npy,0
candidate_004368.npy,0
candidate_004376.npy,0
candidate_004414.npy,0
candidate_004433.npy,0
candidate_004439.npy,1
candidate_006194.npy,0
candidate_006209.npy,0
candidate_006410.npy,0
candidate_006494.npy,0
candidate_006500.npy,0
candidate_006564.npy,0
candidate_007539.npy,1
candidate_007614.npy,1
candidate_007616.npy,0
candidate_007624.npy,0
candidate_007640.npy,0
candidate_007700.npy,0
candidate_007754.npy,0
candidate_007806.npy,0
candidate_007886.npy,0
candidate_007924.npy,0
candidate_007940.npy,0
candidate_007988.npy,0
candidate_007997.npy,0
candidate_008000.npy,0
candidate_008008.npy,1
candidate_008019.npy,0
candidate_008799.npy,0
candidate_008878.npy,0
